location,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations
Maldives,48937360.0,36142897.0,12794463.0,517872.0,544731.0
Mali,1701371.0,1295557.0,405814.0,0.0,195371.0
Malta,55078589.0,33922287.0,21842995.0,701500.0,699664.0
Mauritania,1336462.0,1183158.0,109697.0,5123.0,176666.0
Mauritius,3405403.0,2276552.0,1128851.0,0.0,869197.0
Mexico,2932784205.0,2059046674.0,1111187333.0,46718599.0,50609989.0
Moldova,33514074.0,23785059.0,9650350.0,664940.0,794950.0
Monaco,392748.0,211363.0,178985.0,0.0,38829.0
Mongolia,194046148.0,126835812.0,74297406.0,3043156.0,3901634.0
Montenegro,16560652.0,9969957.0,6590695.0,265787.0,302703.0
Morocco,1283602967.0,729387210.0,538817261.0,14471897.0,19936685.0
Mozambique,2588652.0,2055194.0,533458.0,0.0,512382.0
Myanmar,15630504.0,8186286.0,3944218.0,3800.0,3549628.0
Namibia,6248890.0,5376998.0,871892.0,134186.0,155318.0
Nepal,148649540.0,123438930.0,25210610.0,652996.0,3699471.0
Netherlands,153130709.0,107700491.0,49317849.0,0.0,17284879.0
New Zealand,64358757.0,41702012.0,22656745.0,1404314.0,1352464.0
Nicaragua,530605.0,530605.0,0.0,0.0,171480.0
Niger,1402739.0,1268567.0,134172.0,0.0,377793.0
Nigeria,94256841.0,87897424.0,6359417.0,1110632.0,3895487.0
North Macedonia,19980823.0,12915204.0,6665663.0,473960.0,657627.0
Norway,312161879.0,207764759.0,104397120.0,4785937.0,4684637.0
Oman,12006206.0,10073689.0,2268384.0,65081.0,1611990.0
Pakistan,342733254.0,94232509.0,59217060.0,5072252.0,19735322.0
Panama,96820110.0,56230947.0,31163397.0,1456123.0,1744016.0
Papua New Guinea,216136.0,215426.0,710.0,0.0,46558.0
Paraguay,35365668.0,28746451.0,6619217.0,826233.0,816888.0
Peru,451265798.0,286594810.0,164670988.0,9744564.0,9435404.0
Philippines,387166279.0,265055624.0,83336348.0,6643087.0,12875326.0
Poland,1890919820.0,1224223851.0,710717151.0,22627186.0,31584585.0
Portugal,541017338.0,365578243.0,182060945.0,8922398.0,10078621.0
Qatar,238045285.0,111856929.0,84482296.0,2797998.0,3408284.0
Romania,715233328.0,419030433.0,304858722.0,8955952.0,9075643.0
Russia,2979372115.0,1769455818.0,1209916297.0,41012954.0,47605136.0
Rwanda,10057596.0,9420140.0,1035512.0,275512.0,656452.0
Saint Kitts and Nevis,521606.0,364926.0,156680.0,5558.0,43024.0
Saint Lucia,2402730.0,1160013.0,775158.0,7849.0,54218.0
Saint Vincent and the Grenadines,447728.0,191671.0,0.0,1309.0,16681.0
Samoa,341577.0,326011.0,15566.0,0.0,53478.0
San Marino,1780262.0,978277.0,761167.0,19719.0,45357.0
Sao Tome and Principe,254655.0,101743.0,42104.0,0.0,37821.0
Saudi Arabia,1405162610.0,304729663.0,35297944.0,19961898.0,19902437.0
Senegal,24576386.0,22555544.0,1388194.0,348554.0,805689.0
Serbia,255501132.0,150653918.0,104847214.0,2293165.0,5376417.0
Seychelles,4817047.0,3048844.0,1768203.0,41548.0,140574.0
Sierra Leone,1161626.0,896522.0,96498.0,7981.0,202670.0
Singapore,97935806.0,60577325.0,37403174.0,499444.0,6239981.0
Slovakia,283806319.0,182138903.0,101667416.0,4003639.0,3949735.0
Slovenia,117133339.0,72085546.0,45047793.0,1606157.0,1590336.0
Solomon Islands,74940.0,61834.0,13106.0,0.0,25165.0
Somalia,3598437.0,2947877.0,650560.0,19326.0,122408.0
