Malaysia,11377.6542,11414.20269
Maldives,10276.77339,10626.43335
Mali,894.8047765,879.1227752
Malta,30672.29224,30186.19596
Marshall Islands,3793.550983,4073.10983
Mauritania,1601.291932,1679.442605
Mauritius,11208.3273,11097.58693
Mexico,9686.514244,9946.033829
Micronesia (Federated States of),3568.291016,3585.423202
Middle East & North Africa,7546.701353,7511.823088
Middle East & North Africa (excluding high income),3501.870767,3507.507575
Middle East & North Africa (IDA & IBRD countries),3500.262154,3504.714745
Middle income,5465.316026,5548.164668
Monaco,185978.6093,190512.7374
Mongolia,4134.979372,4339.844625
Montenegro,8850.094631,8910.651554
Morocco,3226.982794,3230.409722
Mozambique,503.3179252,503.5706566
Myanmar,1279.089756,1477.355368
Namibia,5587.985613,5037.342629
Nauru,11614.66508,10983.22465
Nepal,1178.525932,1194.956876
Netherlands,53044.53244,52295.03905
New Caledonia,,
New Zealand,42621.39877,41999.36829
Nicaragua,2014.570287,1926.699694
Niger,572.4301385,553.8949553
Nigeria,2027.778549,2229.858652
North America,61381.63415,63341.78364
North Macedonia,6087.468311,6022.24099
Northern Mariana Islands,22886.67405,20659.64029
Norway,82267.80932,75826.08188
Not classified,,
OECD members,39271.11682,39412.09959
Oman,16521.20623,15343.0435
Other small states,14403.23731,13821.33996
Pacific island small states,4336.985308,4268.838313
Pakistan,1482.213067,1284.702047
Palau,15657.17715,14907.77735
Panama,15544.73352,15727.97449
Papua New Guinea,2801.371393,2829.167085
Paraguay,5782.78455,5380.963322
Peru,6957.793411,7027.612207
Philippines,3252.110274,3485.340844
Poland,15468.40941,15694.84082
Portugal,23562.55452,23284.52723
Post-demographic dividend,45367.46377,45650.14027
Pre-demographic dividend,1449.099681,1481.042628
Puerto Rico,31604.70151,32850.54861
Qatar,65907.94843,62087.97413
Republic of Korea,33422.94421,31846.21823
Republic of Moldova,4230.363037,4494.018403
Romania,12398.98198,12889.80961
Russian Federation,11287.35528,11497.64925
Rwanda,783.6371628,820.1492886
Saint Kitts and Nevis,19276.52127,19773.46237
Saint Lucia,11357.82657,11611.09784
Saint Vincent and the Grenadines,7361.400962,7457.239776
Samoa,4188.571058,4324.101774
San Marino,48996.59225,47731.20854
Sao Tome and Principe,1953.513257,1987.579702
Saudi Arabia,23337.01755,23139.79798
Senegal,1458.069093,1430.148259
Serbia,7252.401858,7411.558649
Seychelles,16390.82491,16198.51748
Sierra Leone,533.9915333,527.5341745
Singapore,66679.04649,65640.70795
Sint Maarten (Dutch part),29160.10381,
Slovakia,19374.08099,19273.25395
Slovenia,26115.91337,25940.72803
Small states,13040.90638,12622.52891
Solomon Islands,2411.862926,2344.231634
Somalia,314.542678,320.0381483
South Africa,6372.605655,6001.401121
South Asia,1894.169093,1959.342256
South Asia (IDA & IBRD),1894.169093,1959.342256
South Sudan,,
Spain,30389.36099,29564.7449
Sri Lanka,4058.803511,3851.56099
St. Martin (French part),,
Sub-Saharan Africa,1596.825251,1599.015966
Sub-Saharan Africa (excluding high income),1595.496495,1597.727503
Sub-Saharan Africa (IDA & IBRD countries),1596.825251,1599.015966
Sudan,825.8689411,753.2821741
Suriname,6938.086981,7261.16561
Sweden,54589.06039,51686.85135
Switzerland,86429.50082,85300.34797
Syrian Arab Republic,,
Tajikistan,853.2188734,890.5444024
Thailand,7296.879608,7817.011522
Timor-Leste,1230.22528,1560.508615
Togo,901.5230169,893.3524541
Tonga,4740.700272,4903.012138
Trinidad and Tobago,17037.86236,16637.16294
Tunisia,3438.805067,3351.573443
Turkey,9453.196172,9126.594392
Turkmenistan,6967.375043,7612.03518
Turks and Caicos Islands,29553.1367,31350.86663
Tuvalu,3701.709255,4055.89561
Uganda,770.2570601,794.4514454
Ukraine,3096.817402,3662.563087
United Arab Emirates,43839.32449,43103.33629
United Kingdom,42995.67729,42354.41465
United Republic of Tanzania,1042.838759,1085.884861
United States of America,63064.41841,65279.52903
Upper middle income,9588.189552,9696.753839
Uruguay,18703.86029,17688.01501
Uzbekistan,1529.082864,1719.05721
Vanuatu,3125.404999,3102.34679
"Venezuela, Bolivarian Republic of",,
Viet Nam,2566.447487,2715.27598
Virgin Islands (U.S.),37233.29689,
West Bank and Gaza,3562.330943,3656.858271
World,11372.72733,11417.17406
Yemen,824.117718,
Zambia,1516.3711,1305.002214
Zimbabwe,1352.162653,1156.154864
